,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Table 2: Directly age-standardised1 and age-specific rates per 100,000 population of newly diagnosed cases of cancer (third digit): site‚ sex and age‚ England, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Directly age-standardised rate,,,,Age Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ICD-10 code,Site description,Sex,,,All ages,,Under 1,,1-4,,5-9,,10-14,,15-19,,20-24,,25-29,,30-34,,35-39,,40-44,,45-49,,50-54,,55-59,,60-64,,65-69,,70-74,,75-79,,80-84,,85-89,,90 and over,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C15,Malignant neoplasm of oesophagus,Males, 22.2 ,, 19.2 ,,, u ,, u ,, u ,, u ,, u , 0.2 , u , 0.4 , u , 0.5 , u , 1.0 , u , 2.0 ,, 6.5 ,, 12.9 ,, 25.2 ,, 42.1 ,, 60.8 ,, 83.2 ,, 94.7 ,, 94.7 ,, 114.6 ,, 101.7 ,
,C15,Malignant neoplasm of oesophagus,Females, 8.1 ,, 8.1 ,,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u , 0.4 , u , 0.5 , u , 1.5 ,, 3.6 ,, 6.0 ,, 13.4 ,, 21.3 ,, 27.4 ,, 36.3 ,, 45.6 ,, 53.2 ,, 54.4 ,
